"","latitud","provincia","altitud","indicativo","nombre","indsinop","longitud","grados_lat","minutos_lat","segundos_lat","orient_lat","latitud_dec","grados_lon","minutos_lon","segundos_lon","orient_lon","longitud_dec"
"1","413515N","BARCELONA","74","0252D","ARENYS DE MAR","08186","023224E",41,35,15,"N",41.5875,2,32,24,"E",2.54
"2","411734N","BARCELONA","4","0076","BARCELONA AEROPUERTO","08181","020412E",41,17,34,"N",41.2927777777778,2,4,12,"E",2.07
"3","412506N","BARCELONA","408","0200E","BARCELONA, FABRA","","020727E",41,25,6,"N",41.4183333333333,2,7,27,"E",2.12416666666667
"4","412326N","BARCELONA","6","0201D","BARCELONA","08180","021200E",41,23,26,"N",41.3905555555556,2,12,0,"E",2.2
"5","414312N","BARCELONA","291","0149X","MANRESA","08174","015025E",41,43,12,"N",41.72,1,50,25,"E",1.84027777777778
"6","413125N","BARCELONA","146","0229I","SABADELL AEROPUERTO","08192","020611E",41,31,25,"N",41.5236111111111,2,6,11,"E",2.10305555555556
"7","413903N","BARCELONA","40","0255B","SANTA SUSANNA","08188","024149E",41,39,3,"N",41.6508333333333,2,41,49,"E",2.69694444444444
"8","415442N","GIRONA","143","0367","GIRONA AEROPUERTO","08184","024548E",41,54,42,"N",41.9116666666667,2,45,48,"E",2.76333333333333
"9","415848N","GIRONA","95","0370B","GIRONA, ANTIC INSTITUT","","024931E",41,58,48,"N",41.98,2,49,31,"E",2.82527777777778
"10","420616N","GIRONA","157","0372C","PORQUERES","08120","024549E",42,6,16,"N",42.1044444444444,2,45,49,"E",2.76361111111111
"11","421129N","GIRONA","675","0324A","RIPOLL","08118","021146E",42,11,29,"N",42.1913888888889,2,11,46,"E",2.19611111111111
"12","410842N","TARRAGONA","71","0016A","REUS AEROPUERTO","08175","010949E",41,8,42,"N",41.145,1,9,49,"E",1.16361111111111
"13","405729N","TARRAGONA","32","0002I","VANDELLÒS  ","08169","005217E",40,57,29,"N",40.9580555555556,0,52,17,"E",0.871388888888889
"14","431825N","A CORUÑA","98","1387E","A CORUÑA AEROPUERTO","08002","082219W",43,18,25,"N",43.3069444444444,8,22,19,"W",-8.37194444444444
"15","432157N","A CORUÑA","58","1387","A CORUÑA","08001","082517W",43,21,57,"N",43.3658333333333,8,25,17,"W",-8.42138888888889
"16","430938N","A CORUÑA","50","1393","CABO VILAN","08006","091239W",43,9,38,"N",43.1605555555556,9,12,39,"W",-9.21083333333333
"17","434710N","A CORUÑA","80","1351","ESTACA DE BARES","08004","074105W",43,47,10,"N",43.7861111111111,7,41,5,"W",-7.68472222222222
"18","425529N","A CORUÑA","230","1400","FISTERRA","08040","091729W",42,55,29,"N",42.9247222222222,9,17,29,"W",-9.29138888888889
"19","424314N","A CORUÑA","685","1437O","MONTE IROITE","08043","085524W",42,43,14,"N",42.7205555555556,8,55,24,"W",-8.92333333333333
"20","424418N","A CORUÑA","100","1473A","PADRÓN","08039","083738W",42,44,18,"N",42.7383333333333,8,37,38,"W",-8.62722222222222
"21","425317N","A CORUÑA","370","1428","SANTIAGO DE COMPOSTELA AEROPUERTO","08042","082438W",42,53,17,"N",42.8880555555556,8,24,38,"W",-8.41055555555556
"22","425234N","A CORUÑA","240","1475X","SANTIAGO DE COMPOSTELA","08041","083321W",42,52,34,"N",42.8761111111111,8,33,21,"W",-8.55583333333333
"23","433401N","ASTURIAS","127","1212E","ASTURIAS AEROPUERTO","08011","060239W",43,34,1,"N",43.5669444444444,6,2,39,"W",-6.04416666666667
"24","433409N","ASTURIAS","60","1283U","CABO BUSTO","08010","062812W",43,34,9,"N",43.5691666666667,6,28,12,"W",-6.47
"25","433921N","ASTURIAS","100","1210X","CABO PEÑAS","08012","055055W",43,39,21,"N",43.6558333333333,5,50,55,"W",-5.84861111111111
"26","433129N","ASTURIAS","40","1331A","CASTROPOL","08009","070153W",43,31,29,"N",43.5247222222222,7,1,53,"W",-7.03138888888889
"27","433123N","ASTURIAS","26","1207U","GIJÓN, CAMPUS","08014","053716W",43,31,23,"N",43.5230555555556,5,37,16,"W",-5.62111111111111
"28","433230N","ASTURIAS","22","1208A","GIJÓN. LA MERCED","","053943W",43,32,30,"N",43.5416666666667,5,39,43,"W",-5.66194444444444
"29","433336N","ASTURIAS","5","1208H","GIJÓN, PUERTO","08014","054203W",43,33,36,"N",43.56,5,42,3,"W",-5.70083333333333
"30","433220N","ASTURIAS","3","1208","GIJÓN","","053815W",43,32,20,"N",43.5388888888889,5,38,15,"W",-5.6375
"31","432513N","ASTURIAS","10","1183X","LLANES","08016","044453W",43,25,13,"N",43.4202777777778,4,44,53,"W",-4.74805555555556
"32","432112N","ASTURIAS","336","1249I","OVIEDO","08015","055227W",43,21,12,"N",43.3533333333333,5,52,27,"W",-5.87416666666667
"33","432112N","ASTURIAS","336","1249X","OVIEDO","08015","055227W",43,21,12,"N",43.3533333333333,5,52,27,"W",-5.87416666666667
"34","425843N","ASTURIAS","1480","1221D","PAJARES-VALGRANDE","08031","054635W",42,58,43,"N",42.9786111111111,5,46,35,"W",-5.77638888888889
"35","425939N","ASTURIAS","1530","1542","PUERTO DE LEITARIEGOS","08052","062451W",42,59,39,"N",42.9941666666667,6,24,51,"W",-6.41416666666667
"36","431753N","BIZKAIA","42","1082","BILBAO AEROPUERTO","08025","025423W",43,17,53,"N",43.2980555555556,2,54,23,"W",-2.90638888888889
"37","431212N","BIZKAIA","208","1078I","GÜEÑES","08035","030617W",43,12,12,"N",43.2033333333333,3,6,17,"W",-3.10472222222222
"38","432237N","BIZKAIA","12","1055B","LEKEITIO","08024","023037W",43,22,37,"N",43.3769444444444,2,30,37,"W",-2.51027777777778
"39","432714N","BIZKAIA","93","1057B","MACHICHACO","","024510W",43,27,14,"N",43.4538888888889,2,45,10,"W",-2.75277777777778
"40","432230N","BIZKAIA","90","1059X","PUNTA GALEA","08059","030118W",43,22,30,"N",43.375,3,1,18,"W",-3.02166666666667
"41","432341N","CANTABRIA","45","1083L","CASTRO URDIALES","08020","031402W",43,23,41,"N",43.3947222222222,3,14,2,"W",-3.23388888888889
"42","432336N","CANTABRIA","38","1159","SAN VICENTE DE LA BARQUERA","08017","042332W",43,23,36,"N",43.3933333333333,4,23,32,"W",-4.39222222222222
"43","432526N","CANTABRIA","3","1109","SANTANDER AEROPUERTO","08021","034932W",43,25,26,"N",43.4238888888889,3,49,32,"W",-3.82555555555556
"44","432754N","CANTABRIA","64","1110","SANTANDER, CIUDAD","","034908W",43,27,54,"N",43.465,3,49,8,"W",-3.81888888888889
"45","432928N","CANTABRIA","52","1111","SANTANDER","08023","034802W",43,29,28,"N",43.4911111111111,3,48,2,"W",-3.80055555555556
"46","432928N","CANTABRIA","52","1111X","SANTANDER","08023","034802W",43,29,28,"N",43.4911111111111,3,48,2,"W",-3.80055555555556
"47","431823N","GIPUZKOA","251","1024E","DONOSTIA/SAN SEBASTIÁN, IGUELDO","08027","020228W",43,18,23,"N",43.3063888888889,2,2,28,"W",-2.04111111111111
"48","431234N","GIPUZKOA","119","1050J","ELGOIBAR","08036","022448W",43,12,34,"N",43.2094444444445,2,24,48,"W",-2.41333333333333
"49","432125N","GIPUZKOA","4","1014","HONDARRIBIA, MALKARROA","08029","014732W",43,21,25,"N",43.3569444444444,1,47,32,"W",-1.79222222222222
"50","432125N","GIPUZKOA","4","1014A","SAN SEBASTIÁN AEROPUERTO","08029","014732W",43,21,25,"N",43.3569444444444,1,47,32,"W",-1.79222222222222
"51","431808N","GIPUZKOA","28","1041A","ZUMAIA","08026","021504W",43,18,8,"N",43.3022222222222,2,15,4,"W",-2.25111111111111
"52","430448N","GIPUZKOA","420","1037Y","ZUMARRAGA","08037","021903W",43,4,48,"N",43.08,2,19,3,"W",-2.3175
"53","423350N","LEON","534","1549","PONFERRADA","08053","063600W",42,33,50,"N",42.5638888888889,6,36,0,"W",-6.6
"54","430641N","LUGO","445","1505","LUGO AEROPUERTO","08008","072727W",43,6,41,"N",43.1113888888889,7,27,27,"W",-7.4575
"55","430809N","NAVARRA","183","1002Y","BAZTAN, IRURITA ","08030","013235W",43,8,9,"N",43.1358333333333,1,32,35,"W",-1.54305555555556
"56","422022N","OURENSE","840","1631E","A POBRA DE TRIVES","08051","071657W",42,20,22,"N",42.3394444444444,7,16,57,"W",-7.2825
"57","422517N","OURENSE","400","1700X","CARBALLIÑO, O","08047","080533W",42,25,17,"N",42.4213888888889,8,5,33,"W",-8.0925
"58","421956N","OURENSE","148","1690B","OURENSE,INSTITUTO","","075152W",42,19,56,"N",42.3322222222222,7,51,52,"W",-7.86444444444444
"59","421931N","OURENSE","143","1690A","OURENSE","08048","075135W",42,19,31,"N",42.3252777777778,7,51,35,"W",-7.85972222222222
"60","420445N","OURENSE","616","1735X","XINZO DE LIMIA","08050","074401W",42,4,45,"N",42.0791666666667,7,44,1,"W",-7.73361111111111
"61","422550N","PONTEVEDRA","19","1484","PONTEVEDRA, INSTITUTO","","083850W",42,25,50,"N",42.4305555555556,8,38,50,"W",-8.64722222222222
"62","422618N","PONTEVEDRA","108","1484C","PONTEVEDRA","08044","083657W",42,26,18,"N",42.4383333333333,8,36,57,"W",-8.61583333333333
"63","421419N","PONTEVEDRA","261","1495","VIGO AEROPUERTO","08045","083726W",42,14,19,"N",42.2386111111111,8,37,26,"W",-8.62388888888889
"64","403924N","AVILA","1143","2444C","ÁVILA, AYUNTAMIENTO","","044201W",40,39,24,"N",40.6566666666667,4,42,1,"W",-4.70027777777778
"65","403933N","AVILA","1130","2444","ÁVILA","08210","044048W",40,39,33,"N",40.6591666666667,4,40,48,"W",-4.68
"66","402102N","AVILA","1525","2811A","NAVARREDONDA DE GREDOS","08206","050835W",40,21,2,"N",40.3505555555556,5,8,35,"W",-5.14305555555556
"67","413957N","BURGOS","790","2117D","ARANDA DE DUERO","08144","034434W",41,39,57,"N",41.6658333333333,3,44,34,"W",-3.74277777777778
"68","422125N","BURGOS","891","2331","BURGOS AEROPUERTO","08075","033713W",42,21,25,"N",42.3569444444444,3,37,13,"W",-3.62027777777778
"69","415735N","BURGOS","1080","2298","PALACIOS DE LA SIERRA","08149","030754W",41,57,35,"N",41.9597222222222,3,7,54,"W",-3.13166666666667
"70","422239N","LEON","1020","2737E","LAGUNAS DE SOMOZA","08123","061148W",42,22,39,"N",42.3775,6,11,48,"W",-6.19666666666667
"71","423558N","LEON","912","2661B","LEÓN AEROPUERTO","08055","053837W",42,35,58,"N",42.5994444444444,5,38,37,"W",-5.64361111111111
"72","423518N","LEON","912","2661","LEÓN, VIRGEN DEL CAMINO","08055","053904W",42,35,18,"N",42.5883333333333,5,39,4,"W",-5.65111111111111
"73","430344N","LEON","1510","2630X","PUERTO DE SAN ISIDRO","08057","052237W",43,3,44,"N",43.0622222222222,5,22,37,"W",-5.37694444444444
"74","404735N","MADRID","1894","2462","PUERTO DE NAVACERRADA","08215","040038W",40,47,35,"N",40.7930555555556,4,0,38,"W",-4.01055555555556
"75","415944N","PALENCIA","874","2400E","AUTILLA DEL PINO","08072","043610W",41,59,44,"N",41.9955555555556,4,36,10,"W",-4.60277777777778
"76","422103N","PALENCIA","830","2374X","CARRIÓN DE LOS CONDES","08068","043702W",42,21,3,"N",42.3508333333333,4,37,2,"W",-4.61722222222222
"77","425214N","PALENCIA","1140","2235U","CERVERA DE PISUERGA","08058","043112W",42,52,14,"N",42.8705555555556,4,31,12,"W",-4.52
"78","420018N","PALENCIA","750","2401","PALENCIA, OBSERVATORIO","","043145W",42,0,18,"N",42.005,4,31,45,"W",-4.52916666666667
"79","402118N","SALAMANCA","1960","2491C","LA COVATILLA, ESTACIÓN DE ESQUÍ","08205","054124W",40,21,18,"N",40.355,5,41,24,"W",-5.69
"80","403806N","SALAMANCA","680","2946X","SAELICES EL CHICO","08195","063600W",40,38,6,"N",40.635,6,36,0,"W",-6.6
"81","405734N","SALAMANCA","790","2867","SALAMANCA AEROPUERTO","08202","052954W",40,57,34,"N",40.9594444444445,5,29,54,"W",-5.49833333333333
"82","405727N","SALAMANCA","775","2870","SALAMANCA","08201","053944W",40,57,27,"N",40.9575,5,39,44,"W",-5.66222222222222
"83","410041N","SALAMANCA","769","2916A","VITIGUDINO","08129","062616W",41,0,41,"N",41.0113888888889,6,26,16,"W",-6.43777777777778
"84","411131N","SEGOVIA","1798","2150H","LA PINILLA, ESTACIÓN DE ESQUÍ","08143","032831W",41,11,31,"N",41.1919444444444,3,28,31,"W",-3.47527777777778
"85","405648N","SEGOVIA","990","2465A","SEGOVIA, INSTITUTO","","040657W",40,56,48,"N",40.9466666666667,4,6,57,"W",-4.11583333333333
"86","405643N","SEGOVIA","1005","2465","SEGOVIA","08213","040735W",40,56,43,"N",40.9452777777778,4,7,35,"W",-4.12638888888889
"87","414630N","SORIA","1082","2030","SORIA","08148","022859W",41,46,30,"N",41.775,2,28,59,"W",-2.48305555555556
"88","411933N","VALLADOLID","740","2503X","OLMEDO","08142","044113W",41,19,33,"N",41.3258333333333,4,41,13,"W",-4.68694444444444
"89","414243N","VALLADOLID","846","2539","VALLADOLID AEROPUERTO","08140","045120W",41,42,43,"N",41.7119444444444,4,51,20,"W",-4.85555555555556
"90","413827N","VALLADOLID","735","2422","VALLADOLID","08141","044516W",41,38,27,"N",41.6408333333333,4,45,16,"W",-4.75444444444444
"91","420039N","ZAMORA","715","2755X","BENAVENTE","08056","054000W",42,0,39,"N",42.0108333333333,5,40,0,"W",-5.66666666666667
"92","415629N","ZAMORA","850","2775X","VILLARDECIERVOS","08125","061647W",41,56,29,"N",41.9413888888889,6,16,47,"W",-6.27972222222222
"93","413056N","ZAMORA","656","2614","ZAMORA","08130","054407W",41,30,56,"N",41.5155555555556,5,44,7,"W",-5.73527777777778
"94","401719N","AVILA","630","3391","SOTILLO DE LA ADRADA","08208","043527W",40,17,19,"N",40.2886111111111,4,35,27,"W",-4.59083333333333
"95","392833N","CACERES","459","3469","CÁCERES, CIUDAD","","062235W",39,28,33,"N",39.4758333333333,6,22,35,"W",-6.37638888888889
"96","392817N","CACERES","394","3469A","CÁCERES","08261","062020W",39,28,17,"N",39.4713888888889,6,20,20,"W",-6.33888888888889
"97","400013N","CACERES","313","3526X","CORIA","08251","063327W",40,0,13,"N",40.0036111111111,6,33,27,"W",-6.5575
"98","395645N","CACERES","269","3434X","NAVALMORAL DE LA MATA","08254","053457W",39,56,45,"N",39.9458333333333,5,34,57,"W",-5.5825
"99","400235N","CACERES","415","3519X","PLASENCIA","08252","060509W",40,2,35,"N",40.0430555555556,6,5,9,"W",-6.08583333333333
"100","392857N","CACERES","503","3463X","TRUJILLO","08263","055115W",39,28,57,"N",39.4825,5,51,15,"W",-5.85416666666667
"101","392453N","CACERES","444","3576X","VALENCIA DE ALCÁNTARA","08260","071352W",39,24,53,"N",39.4147222222222,7,13,52,"W",-7.23111111111111
"102","403149N","CUENCA","928","3044X","CAÑIZARES","08230","020900W",40,31,49,"N",40.5302777777778,2,9,0,"W",-2.15
"103","400041N","CUENCA","808","3094B","TARANCÓN","08277","030117W",40,0,41,"N",40.0113888888889,3,1,17,"W",-3.02138888888889
"104","403933N","GUADALAJARA","639","3168C","GUADALAJARA, EL SERRANILLO","08226","031024W",40,39,33,"N",40.6591666666667,3,10,24,"W",-3.17333333333333
"105","403805N","GUADALAJARA","685","3168A","GUADALAJARA, INSTITUTO","","031000W",40,38,5,"N",40.6347222222222,3,10,0,"W",-3.16666666666667
"106","403749N","GUADALAJARA","721","3168D","GUADALAJARA","08226","030900W",40,37,49,"N",40.6302777777778,3,9,0,"W",-3.15
"107","405030N","GUADALAJARA","1062","3013","MOLINA DE ARAGÓN","08232","015244W",40,50,30,"N",40.8416666666667,1,52,44,"W",-1.87888888888889
"108","410511N","GUADALAJARA","1005","3130C","SIGÜENZA","08150","023705W",41,5,11,"N",41.0863888888889,2,37,5,"W",-2.61805555555556
"109","400402N","MADRID","540","3100B","ARANJUEZ","08229","033246W",40,4,2,"N",40.0672222222222,3,32,46,"W",-3.54611111111111
"110","410025N","MADRID","1030","3110C","BUITRAGO DEL LOZOYA","08146","033649W",41,0,25,"N",41.0069444444444,3,36,49,"W",-3.61361111111111
"111","404146N","MADRID","1004","3191E","COLMENAR VIEJO","08219","034554W",40,41,46,"N",40.6961111111111,3,45,54,"W",-3.765
"112","401758N","MADRID","620","3200","GETAFE","08224","034320W",40,17,58,"N",40.2994444444444,3,43,20,"W",-3.72222222222222
"113","402800N","MADRID","609","3129","MADRID AEROPUERTO","08221","033320W",40,28,0,"N",40.4666666666667,3,33,20,"W",-3.55555555555556
"114","402706N","MADRID","664","3194U","MADRID, CIUDAD UNIVERSITARIA","08220","034327W",40,27,6,"N",40.4516666666667,3,43,27,"W",-3.72416666666667
"115","402232N","MADRID","690","3196","MADRID, CUATRO VIENTOS","08223","034710W",40,22,32,"N",40.3755555555556,3,47,10,"W",-3.78611111111111
"116","402443N","MADRID","667","3195","MADRID, RETIRO","08222","034041W",40,24,43,"N",40.4119444444444,3,40,41,"W",-3.67805555555556
"117","404223N","MADRID","1532","3266A","PUERTO ALTO DEL LEÓN","08217","040831W",40,42,23,"N",40.7063888888889,4,8,31,"W",-4.14194444444444
"118","402540N","MADRID","763","3338","ROBLEDO DE CHAVELA","08212","041500W",40,25,40,"N",40.4277777777778,4,15,0,"W",-4.25
"119","410808N","MADRID","1450","3111D","SOMOSIERRA","08145","033449W",41,8,8,"N",41.1355555555556,3,34,49,"W",-3.58027777777778
"120","402919N","MADRID","607","3175","TORREJÓN DE ARDOZ","08227","032637W",40,29,19,"N",40.4886111111111,3,26,37,"W",-3.44361111111111
"121","393249N","TOLEDO","917","3298X","SAN PABLO DE LOS MONTES","08270","042102W",39,32,49,"N",39.5469444444444,4,21,2,"W",-4.35055555555556
"122","395731N","TOLEDO","372","3365A","TALAVERA DE LA REINA","08274","045149W",39,57,31,"N",39.9586111111111,4,51,49,"W",-4.86361111111111
"123","395134N","TOLEDO","540","3259","TOLEDO, LORENZANA","","040132W",39,51,34,"N",39.8594444444444,4,1,32,"W",-4.02555555555556
"124","395305N","TOLEDO","515","3260B","TOLEDO","08272","040243W",39,53,5,"N",39.8847222222222,4,2,43,"W",-4.04527777777778
"125","385300N","BADAJOZ","185","4452","BADAJOZ AEROPUERTO","08330","064850W",38,53,0,"N",38.8833333333333,6,48,50,"W",-6.81388888888889
"126","385720N","BADAJOZ","273","4358X","DON BENITO","08333","055250W",38,57,20,"N",38.9555555555556,5,52,50,"W",-5.88055555555556
"127","391010N","BADAJOZ","447","4244X","HERRERA DEL DUQUE","08264","050344W",39,10,10,"N",39.1694444444444,5,3,44,"W",-5.06222222222222
"128","381755N","BADAJOZ","381","4511C","JEREZ DE LOS CABALLEROS","08337","064554W",38,17,55,"N",38.2986111111111,6,45,54,"W",-6.765
"129","381354N","BADAJOZ","655","4386B","LLERENA","08336","060101W",38,13,54,"N",38.2316666666667,6,1,1,"W",-6.01694444444444
"130","385457N","BADAJOZ","228","4410X","MÉRIDA","08331","062308W",38,54,57,"N",38.9158333333333,6,23,8,"W",-6.38555555555556
"131","385916N","CIUDAD REAL","627","4121","CIUDAD REAL, INSTITUTO","","035545W",38,59,16,"N",38.9877777777778,3,55,45,"W",-3.92916666666667
"132","385921N","CIUDAD REAL","628","4121","CIUDAD REAL","08348","035513W",38,59,21,"N",38.9891666666667,3,55,13,"W",-3.92027777777778
"133","390519N","CIUDAD REAL","486","4220X","PUEBLA DE DON RODRIGO","08271","043659W",39,5,19,"N",39.0886111111111,4,36,59,"W",-4.61638888888889
"134","391009N","CIUDAD REAL","662","4103X","TOMELLOSO","08276","030027W",39,10,9,"N",39.1691666666667,3,0,27,"W",-3.0075
"135","384502N","CIUDAD REAL","700","4147X","VALDEPEÑAS","08351","032329W",38,45,2,"N",38.7505555555556,3,23,29,"W",-3.39138888888889
"136","383105N","CIUDAD REAL","804","4148","VISO DEL MARQUÉS","08345","033400W",38,31,5,"N",38.5180555555556,3,34,0,"W",-3.56666666666667
"137","382955N","CORDOBA","551","4267X","HINOJOSA DEL DUQUE","08335","050716W",38,29,55,"N",38.4986111111111,5,7,16,"W",-5.12111111111111
"138","392500N","CUENCA","728","4090Y","SAN CLEMENTE","08256","022514W",39,25,0,"N",39.4166666666667,2,25,14,"W",-2.42055555555556
"139","375207N","HUELVA","572","4560Y","ALAJAR","08380","064030W",37,52,7,"N",37.8686111111111,6,40,30,"W",-6.675
"140","371141N","HUELVA","2","4549Y","AYAMONTE","08381","072342W",37,11,41,"N",37.1947222222222,7,23,42,"W",-7.395
"141","371642N","HUELVA","19","4642E","HUELVA, RONDA ESTE","08383","065442W",37,16,42,"N",37.2783333333333,6,54,42,"W",-6.91166666666667
"142","371524N","HUELVA","17","4605","HUELVA","","065659W",37,15,24,"N",37.2566666666667,6,56,59,"W",-6.94972222222222
"143","392931N","TOLEDO","690","4067","MADRIDEJOS","08273","033142W",39,29,31,"N",39.4919444444444,3,31,42,"W",-3.52833333333333
"144","393551N","TOLEDO","691","4061X","QUINTANAR DE LA ORDEN","08275","030249W",39,35,51,"N",39.5975,3,2,49,"W",-3.04694444444444
"145","362959N","CADIZ","2","5973","CÁDIZ","08452","061528W",36,29,59,"N",36.4997222222222,6,15,28,"W",-6.25777777777778
"146","364538N","CADIZ","913","5911A","GRAZALEMA","08455","052227W",36,45,38,"N",36.7605555555556,5,22,27,"W",-5.37416666666667
